Well,GFP,Strain,Plant,Leaf,Date,Unique_plant_ID
A1,577436,WT,1,Top,2022_05_30,Plant_1_2022_05_30
A2,596205,WT,1,Top,2022_05_30,Plant_1_2022_05_30
A3,446297,WT,1,Top,2022_05_30,Plant_1_2022_05_30
A4,516985,WT,1,Top,2022_05_30,Plant_1_2022_05_30
A5,313663,WT,1,Bottom,2022_05_30,Plant_1_2022_05_30
A6,341408,WT,1,Bottom,2022_05_30,Plant_1_2022_05_30
A7,405527,WT,1,Bottom,2022_05_30,Plant_1_2022_05_30
A8,304304,WT,1,Bottom,2022_05_30,Plant_1_2022_05_30
A9,219128,WT,2,Top,2022_05_30,Plant_2_2022_05_30
A10,296402,WT,2,Top,2022_05_30,Plant_2_2022_05_30
A11,314114,WT,2,Top,2022_05_30,Plant_2_2022_05_30
A12,275208,WT,2,Top,2022_05_30,Plant_2_2022_05_30
B1,194209,WT,2,Bottom,2022_05_30,Plant_2_2022_05_30
B2,317213,WT,2,Bottom,2022_05_30,Plant_2_2022_05_30
B3,303460,WT,2,Bottom,2022_05_30,Plant_2_2022_05_30
B4,331432,WT,2,Bottom,2022_05_30,Plant_2_2022_05_30
B5,621106,WT,3,Top,2022_05_30,Plant_3_2022_05_30
B6,535491,WT,3,Top,2022_05_30,Plant_3_2022_05_30
B7,689828,WT,3,Top,2022_05_30,Plant_3_2022_05_30
B8,563642,WT,3,Top,2022_05_30,Plant_3_2022_05_30
B9,265515,WT,3,Bottom,2022_05_30,Plant_3_2022_05_30
B10,200112,WT,3,Bottom,2022_05_30,Plant_3_2022_05_30
B11,302840,WT,3,Bottom,2022_05_30,Plant_3_2022_05_30
B12,294253,WT,3,Bottom,2022_05_30,Plant_3_2022_05_30
C1,276477,WT,4,Top,2022_05_30,Plant_4_2022_05_30
C2,328927,WT,4,Top,2022_05_30,Plant_4_2022_05_30
C3,369825,WT,4,Top,2022_05_30,Plant_4_2022_05_30
C4,237105,WT,4,Top,2022_05_30,Plant_4_2022_05_30
C5,103009,WT,4,Bottom,2022_05_30,Plant_4_2022_05_30
C6,143617,WT,4,Bottom,2022_05_30,Plant_4_2022_05_30
C7,327748,WT,4,Bottom,2022_05_30,Plant_4_2022_05_30
C8,213676,WT,4,Bottom,2022_05_30,Plant_4_2022_05_30
C9,459717,WT,5,Top,2022_05_30,Plant_5_2022_05_30
C10,431668,WT,5,Top,2022_05_30,Plant_5_2022_05_30
C11,338922,WT,5,Top,2022_05_30,Plant_5_2022_05_30
C12,344606,WT,5,Top,2022_05_30,Plant_5_2022_05_30
D1,319466,WT,5,Bottom,2022_05_30,Plant_5_2022_05_30
D2,459202,WT,5,Bottom,2022_05_30,Plant_5_2022_05_30
D3,396293,WT,5,Bottom,2022_05_30,Plant_5_2022_05_30
D4,516086,WT,5,Bottom,2022_05_30,Plant_5_2022_05_30
D5,640362,WT,6,Top,2022_05_30,Plant_6_2022_05_30
