Unique_ID,Plant_CV,Experiment,Plant,Strain
One_1,0.265433268,One,1,GV3101
One_2,0.175571835,One,2,GV3101
One_3,0.433063155,One,3,GV3101
One_4,0.375595451,One,4,GV3101
One_5,0.171476818,One,5,GV3101
One_6,0.249728433,One,6,GV3101
One_7,0.244000616,One,7,GV3101
One_8,0.192776638,One,8,GV3101
One_9,0.436093713,One,9,GV3101
One_10,0.499164912,One,10,GV3101
One_11,0.206530881,One,11,GV3101
One_12,0.427068001,One,12,GV3101
One_13,0.561146316,One,13,GV3101
One_14,0.230191936,One,14,GV3101
One_15,0.445094887,One,15,GV3101
One_16,0.215857866,One,16,GV3101
One_17,0.154982511,One,17,GV3101
One_18,0.130229699,One,18,GV3101
One_19,0.270712358,One,19,GV3101
One_20,0.277532441,One,20,GV3101
One_21,0.184533148,One,21,GV3101
One_22,0.331627021,One,22,GV3101
One_23,0.385799501,One,23,GV3101
One_24,0.217951062,One,24,GV3101
One_25,0.182013782,One,25,GV3101
One_26,0.347922668,One,26,GV3101
One_27,0.612530956,One,27,GV3101
One_28,0.595966283,One,28,GV3101
One_29,0.230115816,One,29,GV3101
One_30,0.401399855,One,30,GV3101
One_31,0.53139057,One,31,GV3101
One_32,0.185978683,One,32,GV3101
One_33,0.649755532,One,33,GV3101
One_34,0.422827094,One,34,GV3101
Two_1,0.372694205,Two,1,GV3101
Two_2,0.184560095,Two,2,GV3101
Two_3,0.238252156,Two,3,GV3101
Two_4,0.239442926,Two,4,GV3101
Two_5,0.19486449,Two,5,GV3101
Two_6,0.126282481,Two,6,GV3101
Two_7,0.252050292,Two,7,GV3101
Two_8,0.241315142,Two,8,GV3101
Three_1,0.179624771,Three,1,GV3101
Three_2,0.290326065,Three,2,GV3101
Three_3,0.227184912,Three,3,GV3101
Three_4,0.145543403,Three,4,GV3101
Three_5,0.291038148,Three,5,GV3101
Three_6,0.357147613,Three,6,GV3101
Three_7,0.351331338,Three,7,GV3101
Three_8,0.379033543,Three,8,GV3101
Four_1,0.295649668,Four,1,GV3101
Four_2,0.415429792,Four,2,GV3101
Four_3,0.340949513,Four,3,GV3101
Four_4,0.209174236,Four,4,GV3101
Four_5,0.143923981,Four,5,GV3101
Four_6,0.347920063,Four,6,GV3101
Four_7,0.187323401,Four,7,GV3101
Four_8,0.326251425,Four,8,GV3101
Five_1,0.155398882,Five,1,GV3101
Five_2,0.163952975,Five,2,GV3101
Five_3,0.338066034,Five,3,GV3101
Five_4,0.318306579,Five,4,GV3101
Five_5,0.144152514,Five,5,GV3101
Five_6,0.111520178,Five,6,GV3101
Five_7,0.178986144,Five,7,GV3101
Five_8,0.162434353,Five,8,GV3101
Six_1,0.270269756,Six,1,GV3101
Six_2,0.340482741,Six,2,GV3101
Six_3,0.287472583,Six,3,GV3101
Six_4,0.099663992,Six,4,GV3101
Six_5,0.104704129,Six,5,GV3101
Six_6,0.292523985,Six,6,GV3101
Six_7,0.171684467,Six,7,GV3101
Six_8,0.314488894,Six,8,GV3101
Seven_1,0.231529534,Seven,1,GV3101
Seven_2,0.217464183,Seven,2,GV3101
Seven_3,0.253458015,Seven,3,GV3101
Seven_4,0.286529098,Seven,4,GV3101
Seven_5,0.286876953,Seven,5,GV3101
Seven_6,0.306904825,Seven,6,GV3101
Seven_7,0.149794642,Seven,7,GV3101
Seven_8,0.34635004,Seven,8,GV3101
Eight_1,0.104264942,Eight,1,GV3101
Eight_2,0.132960894,Eight,2,GV3101
Eight_3,0.151799979,Eight,3,GV3101
Eight_4,0.370965613,Eight,4,GV3101
Eight_5,0.131201423,Eight,5,GV3101
Eight_6,0.124027594,Eight,6,GV3101
Eight_7,0.13518112,Eight,7,GV3101
Eight_8,0.134658637,Eight,8,GV3101
Nine_1,0.208409021,Nine,1,GV3101
Nine_2,0.214484537,Nine,2,GV3101
Nine_3,0.165211315,Nine,3,GV3101
Nine_4,0.249135032,Nine,4,GV3101
Nine_5,0.282830352,Nine,5,GV3101
Nine_6,0.117191976,Nine,6,GV3101
Nine_7,0.193703527,Nine,7,GV3101
Nine_8,0.302957862,Nine,8,GV3101
Ten_1,0.153847652,Ten,1,GV3101
Ten_2,0.194316223,Ten,2,GV3101
Ten_3,0.148740808,Ten,3,GV3101
Ten_4,0.20379875,Ten,4,GV3101
Ten_5,0.176979431,Ten,5,GV3101
Ten_6,0.194016177,Ten,6,GV3101
Ten_7,0.237573913,Ten,7,GV3101
Ten_8,0.161375511,Ten,8,GV3101
Eleven_1,0.224764839,Eleven,1,GV3101
Eleven_2,0.133522558,Eleven,2,GV3101
Eleven_3,0.164135109,Eleven,3,GV3101
Eleven_4,0.380992366,Eleven,4,GV3101
Eleven_5,0.18178453,Eleven,5,GV3101
Eleven_6,0.240438291,Eleven,6,GV3101
Eleven_7,0.276781408,Eleven,7,GV3101
Eleven_8,0.172300552,Eleven,8,GV3101
Twelve_1,0.068762188,Twelve,1,GV3101
Twelve_2,0.122989292,Twelve,2,GV3101
Twelve_3,0.103341165,Twelve,3,GV3101
Twelve_4,0.097342645,Twelve,4,GV3101
Twelve_5,0.142760479,Twelve,5,GV3101
Twelve_6,0.069630094,Twelve,6,GV3101
Twelve_7,0.138509887,Twelve,7,GV3101
Twelve_8,0.062771707,Twelve,8,GV3101
Twelve_9,0.13095327,Twelve,9,GV3101
Twelve_10,0.092720669,Twelve,10,GV3101
Twelve_11,0.106870967,Twelve,11,GV3101
Twelve_12,0.093465379,Twelve,12,GV3101
Twelve_13,0.123957036,Twelve,13,GV3101
Twelve_14,0.114397477,Twelve,14,GV3101
Twelve_15,0.178772312,Twelve,15,GV3101
Twelve_16,0.147262816,Twelve,16,GV3101
Twelve_17,0.108645916,Twelve,17,GV3101
Twelve_18,0.0911941,Twelve,18,GV3101
Twelve_19,0.335804865,Twelve,19,GV3101
Twelve_20,0.192365815,Twelve,20,GV3101
Twelve_21,0.178456222,Twelve,21,GV3101
Twelve_22,0.260138666,Twelve,22,GV3101
Twelve_23,0.087919272,Twelve,23,GV3101
Twelve_24,0.165000004,Twelve,24,GV3101
Twelve_25,0.239786022,Twelve,25,GV3101
Twelve_26,0.072716197,Twelve,26,GV3101
Twelve_27,0.817710046,Twelve,27,GV3101
Twelve_28,0.110415687,Twelve,28,GV3101
Twelve_29,0.100719022,Twelve,29,GV3101
Twelve_30,0.128134852,Twelve,30,GV3101
Twelve_31,0.222600205,Twelve,31,GV3101
Twelve_32,0.141894597,Twelve,32,GV3101
Twelve_33,0.259850199,Twelve,33,GV3101
Twelve_34,0.206141027,Twelve,34,GV3101
Twelve_35,0.338939891,Twelve,35,GV3101
Twelve_36,0.230009911,Twelve,36,GV3101
Twelve_37,0.137592455,Twelve,37,GV3101
Twelve_38,0.114223966,Twelve,38,GV3101
Twelve_39,0.130481052,Twelve,39,GV3101
Twelve_40,0.22605406,Twelve,40,GV3101
Twelve_41,0.122614635,Twelve,41,GV3101
Twelve_42,0.183939893,Twelve,42,GV3101
Twelve_43,0.161084918,Twelve,43,GV3101
Twelve_44,0.151183552,Twelve,44,GV3101
Twelve_45,0.263325155,Twelve,45,GV3101
Twelve_46,0.068785161,Twelve,46,GV3101
Twelve_47,0.17242441,Twelve,47,GV3101
Twelve_48,0.190707159,Twelve,48,GV3101
Twelve_49,0.129434619,Twelve,49,GV3101
Twelve_50,0.102472903,Twelve,50,GV3101
Twelve_51,0.120040106,Twelve,51,GV3101
Twelve_52,0.265891265,Twelve,52,GV3101
Twelve_53,0.137148305,Twelve,53,GV3101
Twelve_54,0.142137608,Twelve,54,GV3101
Twelve_55,0.19468133,Twelve,55,GV3101
Twelve_56,0.157606413,Twelve,56,GV3101
Twelve_57,0.229906819,Twelve,57,GV3101
Twelve_58,0.2054232,Twelve,58,GV3101
Twelve_59,0.123791695,Twelve,59,GV3101
Twelve_60,0.156748339,Twelve,60,GV3101
Twelve_61,0.148539252,Twelve,61,GV3101
Twelve_62,0.194701471,Twelve,62,GV3101
Twelve_63,0.098564614,Twelve,63,GV3101
Twelve_64,0.133901703,Twelve,64,GV3101
Twelve_65,0.166475183,Twelve,65,GV3101
Twelve_66,0.069954547,Twelve,66,GV3101
Twelve_67,0.164690626,Twelve,67,GV3101
Twelve_68,0.131285432,Twelve,68,GV3101
Twelve_69,0.25773522,Twelve,69,GV3101
Twelve_70,0.120492151,Twelve,70,GV3101
Twelve_71,0.10780935,Twelve,71,GV3101
Twelve_72,0.202504555,Twelve,72,GV3101
Thirteen_1,0.197119293,Thirteen,1,GV3101
Thirteen_2,0.072968149,Thirteen,2,GV3101
Thirteen_3,0.152988651,Thirteen,3,GV3101
Thirteen_4,0.15022568,Thirteen,4,GV3101
Thirteen_5,0.162031105,Thirteen,5,GV3101
Thirteen_6,0.15822971,Thirteen,6,GV3101
Thirteen_7,0.193821964,Thirteen,7,GV3101
Thirteen_8,0.13903357,Thirteen,8,GV3101
Thirteen_9,0.152213868,Thirteen,9,GV3101
Thirteen_10,0.167291697,Thirteen,10,GV3101
Thirteen_11,0.140709619,Thirteen,11,GV3101
Thirteen_12,0.151172343,Thirteen,12,GV3101
Thirteen_13,0.171910591,Thirteen,13,GV3101
Thirteen_14,0.183899786,Thirteen,14,GV3101
Thirteen_15,0.124332965,Thirteen,15,GV3101
Thirteen_16,0.138732747,Thirteen,16,GV3101
Thirteen_17,0.123329221,Thirteen,17,GV3101
Thirteen_18,0.118466971,Thirteen,18,GV3101
Thirteen_19,0.186962255,Thirteen,19,GV3101
Thirteen_20,0.436262823,Thirteen,20,GV3101
