Strain,Plants,Min_effect_size,Effect_size
EHA105,50,1.125,12.5
EHA105,25,1.1875,18.75
EHA105,10,1.3,30
EHA105,5,1.5063,50.63
EHA105,3,1.7016,70.16
EHA105,2,1.975,97.5
EHA105,1,2.975,197.5
EHA105,4,1.5375,53.75
EHA105,16,1.2375,23.75
EHA105,37,1.15,15
EHA105,7,1.3875,38.75
EHA105,6,1.4,40
GV3101,50,1.0875,8.75
GV3101,25,1.125,12.5
GV3101,10,1.1875,18.75
GV3101,5,1.2875,28.75
GV3101,3,1.4125,41.25
GV3101,2,1.5375,53.75
GV3101,1,1.975,97.5
GV3101,4,1.35,35
GV3101,16,1.1562,15.62
GV3101,37,1.1,10
GV3101,7,1.25,25
GV3101,6,1.2686,26.86
pCL2,50,1.0688,6.88
pCL2,25,1.1031,10.31
pCL2,10,1.1625,16.25
pCL2,5,1.2328,23.28
pCL2,3,1.3188,31.88
pCL2,2,1.4281,42.81
pCL2,1,1.725,72.5
pCL2,4,1.2563,25.63
pCL2,16,1.125,12.5
pCL2,37,1.0813,8.13
pCL2,7,1.1938,19.38
pCL2,6,1.2,20
