Week,CV,Simulated
Sophia_OD,0.268348292,"32 weeks, real data"
Sophia_OD,0.10076005,"32 weeks, real data"
Sophia_OD,0.120545078,"32 weeks, real data"
Sophia_OD,0.664839547,"32 weeks, real data"
Sophia_OD,0.351977602,"32 weeks, real data"
Sophia_OD,1.053443517,"32 weeks, real data"
Sophia_OD,0.354177883,"32 weeks, real data"
Sophia_OD,0.167092241,"32 weeks, real data"
Sophia_OD,0.631933926,"32 weeks, real data"
Sophia_OD,0.422361029,"32 weeks, real data"
Sophia_OD,0.394524148,"32 weeks, real data"
Sophia_OD,0.16940984,"32 weeks, real data"
Sophia_OD,0.128972205,"32 weeks, real data"
Sophia_OD,0.507040502,"32 weeks, real data"
Sophia_OD,0.364427812,"32 weeks, real data"
Sophia_OD,0.202283696,"32 weeks, real data"
Sophia_OD,0.428126213,"32 weeks, real data"
Sophia_OD,0.238029719,"32 weeks, real data"
Sophia_OD,0.125550072,"32 weeks, real data"
Sophia_OD,0.079177757,"32 weeks, real data"
Sophia_OD,0.197484004,"32 weeks, real data"
Sophia_OD,0.231902499,"32 weeks, real data"
Sophia_OD,0.179577996,"32 weeks, real data"
Sophia_OD,0.216460271,"32 weeks, real data"
Sophia_OD,0.120826575,"32 weeks, real data"
Sophia_OD,0.204113908,"32 weeks, real data"
Sophia_OD,0.138587731,"32 weeks, real data"
Sophia_OD,0.080868777,"32 weeks, real data"
Sophia_OD,0.070147739,"32 weeks, real data"
Sophia_OD,0.251161747,"32 weeks, real data"
Sophia_OD,0.150242541,"32 weeks, real data"
Sophia_OD,0.520768565,"32 weeks, real data"
Sophia_OD,0.091598322,"32 weeks, real data"
Sophia_OD,0.107954788,"32 weeks, real data"
Sophia_OD,0.457263083,"32 weeks, real data"
Sophia_OD,0.288747995,"32 weeks, real data"
Sophia_OD,0.380700133,"32 weeks, real data"
Sophia_OD,0.26267638,"32 weeks, real data"
Sophia_OD,0.134658698,"32 weeks, real data"
Sophia_OD,0.252297126,"32 weeks, real data"
Sophia_OD,0.32414699,"32 weeks, real data"
Sophia_OD,0.278345605,"32 weeks, real data"
Sophia_OD,0.246689351,"32 weeks, real data"
Sophia_OD,0.966563257,"32 weeks, real data"
Sophia_OD,0.109698251,"32 weeks, real data"
Sophia_OD,0.162210855,"32 weeks, real data"
Sophia_OD,0.166721653,"32 weeks, real data"
Sophia_OD,0.224741524,"32 weeks, real data"
Sophia_OD,0.06739168,"32 weeks, real data"
Sophia_OD,1.105571848,"32 weeks, real data"
Sophia_OD,0.190331601,"32 weeks, real data"
Sophia_OD,0.095817019,"32 weeks, real data"
Sophia_OD,0.362497779,"32 weeks, real data"
Sophia_OD,0.309981222,"32 weeks, real data"
Sophia_OD,0.088922092,"32 weeks, real data"
Sophia_OD,0.163202703,"32 weeks, real data"
Sophia_OD,0.160424698,"32 weeks, real data"
Sophia_OD,0.122306628,"32 weeks, real data"
Sophia_OD,0.241268093,"32 weeks, real data"
Sophia_OD,0.064554889,"32 weeks, real data"
Sophia_OD,0.178932549,"32 weeks, real data"
Sophia_OD,0.18513292,"32 weeks, real data"
Sophia_OD,0.165058744,"32 weeks, real data"
Sophia_OD,0.366777107,"32 weeks, real data"
Sophia_OD,0.16218538,"32 weeks, real data"
Sophia_OD,0.115216488,"32 weeks, real data"
Sophia_OD,0.448830283,"32 weeks, real data"
Sophia_OD,0.471056129,"32 weeks, real data"
Sophia_OD,0.158846692,"32 weeks, real data"
Sophia_OD,0.173223755,"32 weeks, real data"
Sophia_OD,0.238904689,"32 weeks, real data"
Sophia_OD,0.413539448,"32 weeks, real data"
Sophia_OD,0.286767659,"32 weeks, real data"
Sophia_OD,0.138870136,"32 weeks, real data"
Sophia_OD,0.211596144,"32 weeks, real data"
Sophia_OD,0.214663112,"32 weeks, real data"
Sophia_OD,0.199540896,"32 weeks, real data"
Sophia_OD,0.113777637,"32 weeks, real data"
Sophia_OD,0.279695238,"32 weeks, real data"
Sophia_OD,0.088990239,"32 weeks, real data"
Sophia_OD,0.093444886,"32 weeks, real data"
Sophia_OD,0.126422143,"32 weeks, real data"
Sophia_OD,0.306367714,"32 weeks, real data"
Sophia_OD,0.071541038,"32 weeks, real data"
Sophia_OD,0.206235628,"32 weeks, real data"
Sophia_OD,0.29697222,"32 weeks, real data"
Sophia_OD,0.267364398,"32 weeks, real data"
Sophia_OD,0.253255128,"32 weeks, real data"
Sophia_OD,0.124218386,"32 weeks, real data"
Sophia_OD,0.120053195,"32 weeks, real data"
Sophia_OD,0.233637386,"32 weeks, real data"
Sophia_OD,0.145977612,"32 weeks, real data"
Sophia_OD,0.2585304,"32 weeks, real data"
Sophia_OD,0.147935146,"32 weeks, real data"
Sophia_OD,0.22443186,"32 weeks, real data"
Sophia_OD,0.200443494,"32 weeks, real data"
Sophia_OD,0.112494507,"32 weeks, real data"
Sophia_OD,0.192582916,"32 weeks, real data"
Sophia_OD,0.18177989,"32 weeks, real data"
Sophia_OD,0.143708656,"32 weeks, real data"
Sophia_OD,0.311540467,"32 weeks, real data"
Sophia_OD,0.135623632,"32 weeks, real data"
Sophia_OD,0.416968805,"32 weeks, real data"
Sophia_OD,0.468857109,"32 weeks, real data"
Sophia_OD,0.20825908,"32 weeks, real data"
Sophia_OD,0.250104547,"32 weeks, real data"
Sophia_OD,0.262117788,"32 weeks, real data"
Sophia_OD,0.360752712,"32 weeks, real data"
Sophia_OD,0.492916848,"32 weeks, real data"
Sophia_OD,0.185766896,"32 weeks, real data"
Sophia_OD,0.080836363,"32 weeks, real data"
Sophia_OD,0.224264808,"32 weeks, real data"
Sophia_OD,0.131526558,"32 weeks, real data"
Sophia_OD,0.365512247,"32 weeks, real data"
Sophia_OD,0.467413718,"32 weeks, real data"
Sophia_OD,0.482270501,"32 weeks, real data"
Sophia_OD,0.209626046,"32 weeks, real data"
Sophia_OD,0.212501566,"32 weeks, real data"
Sophia_OD,0.239656631,"32 weeks, real data"
Sophia_OD,0.168061998,"32 weeks, real data"
Sophia_OD,0.312701986,"32 weeks, real data"
Sophia_OD,0.300945148,"32 weeks, real data"
Sophia_OD,0.148932342,"32 weeks, real data"
Sophia_OD,0.344653287,"32 weeks, real data"
Sophia_OD,0.380687174,"32 weeks, real data"
Sophia_OD,0.298445445,"32 weeks, real data"
Sophia_OD,0.521456525,"32 weeks, real data"
Sophia_OD,0.267704623,"32 weeks, real data"
Sophia_OD,0.149113771,"32 weeks, real data"
Sophia_OD,0.351635881,"32 weeks, real data"
Sophia_OD,0.262178176,"32 weeks, real data"
2022_05_30_PC4_GFP,0.265433268,"32 weeks, real data"
2022_06_06_PC4_GFP,0.436093713,"32 weeks, real data"
2022_06_13_PC4_GFP,0.230191936,"32 weeks, real data"
2022_07_25_PC4_GFP,0.270712358,"32 weeks, real data"
2022_08_08_PC4_GFP,0.612530956,"32 weeks, real data"
2022_09_05_PC4_GFP,0.372694205,"32 weeks, real data"
2022_09_12_PC4_GFP,0.179624771,"32 weeks, real data"
2022_09_19_PC4_GFP,0.295649668,"32 weeks, real data"
2022_10_17_PC4_GFP,0.155398882,"32 weeks, real data"
2022_11_07_PC4_GFP,0.270269756,"32 weeks, real data"
2022_12_05_PC4_GFP,0.231529534,"32 weeks, real data"
2023_01_09_PC4_GFP,0.104264942,"32 weeks, real data"
2023_02_06_PC4_GFP,0.208409021,"32 weeks, real data"
2023_05_30_PC4_GFP,0.153847652,"32 weeks, real data"
2023_07_03_PC4_GFP,0.224764839,"32 weeks, real data"
2022_05_30_PC4_GFP,0.175571835,"32 weeks, real data"
2022_06_06_PC4_GFP,0.499164912,"32 weeks, real data"
2022_06_13_PC4_GFP,0.445094887,"32 weeks, real data"
2022_07_25_PC4_GFP,0.277532441,"32 weeks, real data"
2022_08_08_PC4_GFP,0.595966283,"32 weeks, real data"
2022_09_05_PC4_GFP,0.184560095,"32 weeks, real data"
2022_09_12_PC4_GFP,0.290326065,"32 weeks, real data"
2022_09_19_PC4_GFP,0.415429792,"32 weeks, real data"
2022_10_17_PC4_GFP,0.163952975,"32 weeks, real data"
2022_11_07_PC4_GFP,0.340482741,"32 weeks, real data"
2022_12_05_PC4_GFP,0.217464183,"32 weeks, real data"
2023_01_09_PC4_GFP,0.132960894,"32 weeks, real data"
2023_02_06_PC4_GFP,0.214484537,"32 weeks, real data"
2023_05_30_PC4_GFP,0.194316223,"32 weeks, real data"
2023_07_03_PC4_GFP,0.133522558,"32 weeks, real data"
2022_05_30_PC4_GFP,0.433063155,"32 weeks, real data"
2022_06_06_PC4_GFP,0.206530881,"32 weeks, real data"
2022_06_13_PC4_GFP,0.215857866,"32 weeks, real data"
2022_07_25_PC4_GFP,0.184533148,"32 weeks, real data"
2022_08_08_PC4_GFP,0.230115816,"32 weeks, real data"
2022_09_05_PC4_GFP,0.238252156,"32 weeks, real data"
2022_09_12_PC4_GFP,0.227184912,"32 weeks, real data"
2022_09_19_PC4_GFP,0.340949513,"32 weeks, real data"
2022_10_17_PC4_GFP,0.338066034,"32 weeks, real data"
2022_11_07_PC4_GFP,0.287472583,"32 weeks, real data"
2022_12_05_PC4_GFP,0.253458015,"32 weeks, real data"
2023_01_09_PC4_GFP,0.151799979,"32 weeks, real data"
2023_02_06_PC4_GFP,0.165211315,"32 weeks, real data"
2023_05_30_PC4_GFP,0.148740808,"32 weeks, real data"
2023_07_03_PC4_GFP,0.164135109,"32 weeks, real data"
2022_05_30_PC4_GFP,0.375595451,"32 weeks, real data"
2022_06_06_PC4_GFP,0.427068001,"32 weeks, real data"
2022_06_13_PC4_GFP,0.154982511,"32 weeks, real data"
2022_07_25_PC4_GFP,0.331627021,"32 weeks, real data"
2022_08_08_PC4_GFP,0.401399855,"32 weeks, real data"
2022_09_05_PC4_GFP,0.239442926,"32 weeks, real data"
2022_09_12_PC4_GFP,0.145543403,"32 weeks, real data"
2022_09_19_PC4_GFP,0.209174236,"32 weeks, real data"
2022_10_17_PC4_GFP,0.318306579,"32 weeks, real data"
2022_11_07_PC4_GFP,0.099663992,"32 weeks, real data"
2022_12_05_PC4_GFP,0.286529098,"32 weeks, real data"
2023_01_09_PC4_GFP,0.370965613,"32 weeks, real data"
2023_02_06_PC4_GFP,0.249135032,"32 weeks, real data"
2023_05_30_PC4_GFP,0.20379875,"32 weeks, real data"
2023_07_03_PC4_GFP,0.380992366,"32 weeks, real data"
2022_05_30_PC4_GFP,0.171476818,"32 weeks, real data"
2022_06_06_PC4_GFP,0.561146316,"32 weeks, real data"
2022_06_13_PC4_GFP,0.130229699,"32 weeks, real data"
2022_07_25_PC4_GFP,0.385799501,"32 weeks, real data"
2022_08_08_PC4_GFP,0.53139057,"32 weeks, real data"
2022_09_05_PC4_GFP,0.19486449,"32 weeks, real data"
2022_09_12_PC4_GFP,0.291038148,"32 weeks, real data"
2022_09_19_PC4_GFP,0.143923981,"32 weeks, real data"
2022_10_17_PC4_GFP,0.144152514,"32 weeks, real data"
2022_11_07_PC4_GFP,0.104704129,"32 weeks, real data"
2022_12_05_PC4_GFP,0.286876953,"32 weeks, real data"
2023_01_09_PC4_GFP,0.131201423,"32 weeks, real data"
2023_02_06_PC4_GFP,0.282830352,"32 weeks, real data"
2023_05_30_PC4_GFP,0.176979431,"32 weeks, real data"
2023_07_03_PC4_GFP,0.18178453,"32 weeks, real data"
2022_05_30_PC4_GFP,0.249728433,"32 weeks, real data"
2022_07_25_PC4_GFP,0.217951062,"32 weeks, real data"
2022_08_08_PC4_GFP,0.185978683,"32 weeks, real data"
2022_09_05_PC4_GFP,0.126282481,"32 weeks, real data"
2022_09_12_PC4_GFP,0.357147613,"32 weeks, real data"
2022_09_19_PC4_GFP,0.347920063,"32 weeks, real data"
2022_10_17_PC4_GFP,0.111520178,"32 weeks, real data"
2022_11_07_PC4_GFP,0.292523985,"32 weeks, real data"
2022_12_05_PC4_GFP,0.306904825,"32 weeks, real data"
2023_01_09_PC4_GFP,0.124027594,"32 weeks, real data"
2023_02_06_PC4_GFP,0.117191976,"32 weeks, real data"
2023_05_30_PC4_GFP,0.194016177,"32 weeks, real data"
2023_07_03_PC4_GFP,0.240438291,"32 weeks, real data"
2022_05_30_PC4_GFP,0.244000616,"32 weeks, real data"
2022_07_25_PC4_GFP,0.182013782,"32 weeks, real data"
2022_08_08_PC4_GFP,0.649755532,"32 weeks, real data"
2022_09_05_PC4_GFP,0.252050292,"32 weeks, real data"
2022_09_12_PC4_GFP,0.351331338,"32 weeks, real data"
2022_09_19_PC4_GFP,0.187323401,"32 weeks, real data"
2022_10_17_PC4_GFP,0.178986144,"32 weeks, real data"
2022_11_07_PC4_GFP,0.171684467,"32 weeks, real data"
2022_12_05_PC4_GFP,0.149794642,"32 weeks, real data"
2023_01_09_PC4_GFP,0.13518112,"32 weeks, real data"
2023_02_06_PC4_GFP,0.193703527,"32 weeks, real data"
2023_05_30_PC4_GFP,0.237573913,"32 weeks, real data"
2023_07_03_PC4_GFP,0.276781408,"32 weeks, real data"
2022_05_30_PC4_GFP,0.192776638,"32 weeks, real data"
2022_07_25_PC4_GFP,0.347922668,"32 weeks, real data"
2022_08_08_PC4_GFP,0.422827094,"32 weeks, real data"
2022_09_05_PC4_GFP,0.241315142,"32 weeks, real data"
2022_09_12_PC4_GFP,0.379033543,"32 weeks, real data"
2022_09_19_PC4_GFP,0.326251425,"32 weeks, real data"
2022_10_17_PC4_GFP,0.162434353,"32 weeks, real data"
2022_11_07_PC4_GFP,0.314488894,"32 weeks, real data"
2022_12_05_PC4_GFP,0.34635004,"32 weeks, real data"
