"","Well","GFP","Plant","Leaf","Unique_plant_ID"
"1","A1",638486.212569355,"1","Top","Plant_1_2022_12_05"
"2","A2",407570.430828538,"1","Top","Plant_1_2022_12_05"
"3","A3",521491.799814151,"1","Top","Plant_1_2022_12_05"
"4","A4",642821.813804366,"1","Top","Plant_1_2022_12_05"
"5","A5",532887.172236022,"1","Bottom","Plant_1_2022_12_05"
"6","A6",528164.011578478,"1","Bottom","Plant_1_2022_12_05"
"7","A7",365775.206788047,"1","Bottom","Plant_1_2022_12_05"
"8","A8",343531.687408425,"1","Bottom","Plant_1_2022_12_05"
"9","A9",488625.916733826,"2","Top","Plant_2_2022_12_05"
"10","A10",477385.286731115,"2","Top","Plant_2_2022_12_05"
"11","A11",422792.161251457,"2","Top","Plant_2_2022_12_05"
"12","A12",425581.0416695,"2","Top","Plant_2_2022_12_05"
"13","B1",401609.330817714,"2","Bottom","Plant_2_2022_12_05"
"14","B2",633555.556395211,"2","Bottom","Plant_2_2022_12_05"
"15","B3",686234.799499712,"2","Bottom","Plant_2_2022_12_05"
"16","B4",417694.805289399,"2","Bottom","Plant_2_2022_12_05"
"17","B5",229842.432051553,"3","Top","Plant_3_2022_12_05"
"18","B6",260695.256933532,"3","Top","Plant_3_2022_12_05"
"19","B7",207707.232365343,"3","Top","Plant_3_2022_12_05"
"20","B8",207561.633816406,"3","Top","Plant_3_2022_12_05"
"21","B9",388613.077732169,"3","Bottom","Plant_3_2022_12_05"
"22","B10",336076.619678075,"3","Bottom","Plant_3_2022_12_05"
"23","B11",215034.28591257,"3","Bottom","Plant_3_2022_12_05"
"24","B12",249268.936027829,"3","Bottom","Plant_3_2022_12_05"
"25","C1",489020.509902684,"4","Top","Plant_4_2022_12_05"
"26","C2",270083.198154118,"4","Top","Plant_4_2022_12_05"
"27","C3",531228.614852479,"4","Top","Plant_4_2022_12_05"
"28","C4",314605.405644988,"4","Top","Plant_4_2022_12_05"
"29","C5",375709.670098121,"4","Bottom","Plant_4_2022_12_05"
"30","C6",464299.705067237,"4","Bottom","Plant_4_2022_12_05"
"31","C7",616345.385886085,"4","Bottom","Plant_4_2022_12_05"
"32","C8",625419.622020556,"4","Bottom","Plant_4_2022_12_05"
"33","C9",640272.784136021,"5","Top","Plant_5_2022_12_05"
"34","C10",684958.174541642,"5","Top","Plant_5_2022_12_05"
"35","C11",737247.04472508,"5","Top","Plant_5_2022_12_05"
"36","C12",624701.476520727,"5","Top","Plant_5_2022_12_05"
"37","D1",376868.128117923,"5","Bottom","Plant_5_2022_12_05"
"38","D2",457339.813078198,"5","Bottom","Plant_5_2022_12_05"
"39","D3",476704.420086811,"5","Bottom","Plant_5_2022_12_05"
"40","D4",310784.674641001,"5","Bottom","Plant_5_2022_12_05"
"41","D5",397329.999553307,"6","Top","Plant_6_2022_12_05"
"42","D6",410065.300650177,"6","Top","Plant_6_2022_12_05"
"43","D7",449617.46298748,"6","Top","Plant_6_2022_12_05"
"44","D8",428368.515338278,"6","Top","Plant_6_2022_12_05"
"45","D9",660914.016102704,"6","Bottom","Plant_6_2022_12_05"
"46","D10",820207.972509934,"6","Bottom","Plant_6_2022_12_05"
"47","D11",487191.032483433,"6","Bottom","Plant_6_2022_12_05"
"48","D12",384657.298798733,"6","Bottom","Plant_6_2022_12_05"
"49","E1",517543.758001672,"7","Top","Plant_7_2022_12_05"
"50","E2",501712.905146969,"7","Top","Plant_7_2022_12_05"
"51","E3",393573.979015513,"7","Top","Plant_7_2022_12_05"
"52","E4",451370.975946416,"7","Top","Plant_7_2022_12_05"
"53","E5",405596.761609615,"7","Bottom","Plant_7_2022_12_05"
"54","E6",318446.53451332,"7","Bottom","Plant_7_2022_12_05"
"55","E7",400038.69526324,"7","Bottom","Plant_7_2022_12_05"
"56","E8",419753.58283886,"7","Bottom","Plant_7_2022_12_05"
"57","E9",120082.22739208,"8","Top","Plant_8_2022_12_05"
"58","E10",446993.875608085,"8","Top","Plant_8_2022_12_05"
"59","E11",305075.382748628,"8","Top","Plant_8_2022_12_05"
"60","E12",379678.813149575,"8","Top","Plant_8_2022_12_05"
"61","F1",496382.028806906,"8","Bottom","Plant_8_2022_12_05"
"62","F2",503013.444842546,"8","Bottom","Plant_8_2022_12_05"
"63","F3",557202.12990849,"8","Bottom","Plant_8_2022_12_05"
"64","F4",505318.403513398,"8","Bottom","Plant_8_2022_12_05"
"65","A1",581066.927816129,"1","Top","Plant_1_2023_01_09"
"66","A2",647110.992313629,"1","Top","Plant_1_2023_01_09"
"67","A3",555089.895886956,"1","Top","Plant_1_2023_01_09"
"68","A4",464402.397763589,"1","Top","Plant_1_2023_01_09"
"69","A5",530506.249104855,"1","Bottom","Plant_1_2023_01_09"
"70","A6",491061.703086331,"1","Bottom","Plant_1_2023_01_09"
"71","A7",514811.850928865,"1","Bottom","Plant_1_2023_01_09"
"72","A8",553946.912109069,"1","Bottom","Plant_1_2023_01_09"
"73","A9",423887.31555433,"2","Top","Plant_2_2023_01_09"
"74","A10",380788.0349451,"2","Top","Plant_2_2023_01_09"
"75","A11",402253.621981126,"2","Top","Plant_2_2023_01_09"
"76","A12",431080.024546742,"2","Top","Plant_2_2023_01_09"
"77","B1",548162.359131014,"2","Bottom","Plant_2_2023_01_09"
"78","B2",451413.178424369,"2","Bottom","Plant_2_2023_01_09"
"79","B3",538441.018334602,"2","Bottom","Plant_2_2023_01_09"
"80","B4",453544.403560982,"2","Bottom","Plant_2_2023_01_09"
"81","B5",531721.680469894,"3","Top","Plant_3_2023_01_09"
"82","B6",701303.194252736,"3","Top","Plant_3_2023_01_09"
"83","B7",454558.669781113,"3","Top","Plant_3_2023_01_09"
"84","B8",514743.623589508,"3","Top","Plant_3_2023_01_09"
"85","B9",704012.593337302,"3","Bottom","Plant_3_2023_01_09"
"86","B10",565732.657452003,"3","Bottom","Plant_3_2023_01_09"
"87","B11",626137.064145752,"3","Bottom","Plant_3_2023_01_09"
"88","B12",631215.428992731,"3","Bottom","Plant_3_2023_01_09"
"89","C1",485235.651004956,"4","Top","Plant_4_2023_01_09"
"90","C2",345381.56269202,"4","Top","Plant_4_2023_01_09"
"91","C3",380243.62297951,"4","Top","Plant_4_2023_01_09"
"92","C4",344885.683576076,"4","Top","Plant_4_2023_01_09"
"93","C5",540726.282515742,"4","Bottom","Plant_4_2023_01_09"
"94","C6",117662.618656123,"4","Bottom","Plant_4_2023_01_09"
"95","C7",617600.206230547,"4","Bottom","Plant_4_2023_01_09"
"96","C8",462615.826196923,"4","Bottom","Plant_4_2023_01_09"
"97","C9",442115.972531382,"5","Top","Plant_5_2023_01_09"
"98","C10",379342.600075219,"5","Top","Plant_5_2023_01_09"
"99","C11",391724.103731919,"5","Top","Plant_5_2023_01_09"
"100","C12",564143.734157082,"5","Top","Plant_5_2023_01_09"
"101","D1",484894.514308172,"5","Bottom","Plant_5_2023_01_09"
"102","D2",492723.777343036,"5","Bottom","Plant_5_2023_01_09"
"103","D3",434863.476695204,"5","Bottom","Plant_5_2023_01_09"
"104","D4",438449.983946554,"5","Bottom","Plant_5_2023_01_09"
"105","D5",544410.558841016,"6","Top","Plant_6_2023_01_09"
"106","D6",629469.653154753,"6","Top","Plant_6_2023_01_09"
"107","D7",630032.35286079,"6","Top","Plant_6_2023_01_09"
"108","D8",716659.269230471,"6","Top","Plant_6_2023_01_09"
"109","D9",551041.271502023,"6","Bottom","Plant_6_2023_01_09"
"110","D10",546514.35236696,"6","Bottom","Plant_6_2023_01_09"
