Well,GFP,Strain,Plant,Leaf,Date,Machine,Unique_plant_ID,Puncher,Date,GFP
A1,577436,WT,1,Top,2022_05_30,SB3,Plant_1_2022_05_30,Mitch,2022_05_30,577436
A2,596205,WT,1,Top,2022_05_30,SB3,Plant_1_2022_05_30,Mitch,2022_05_30,596205
A3,446297,WT,1,Top,2022_05_30,SB3,Plant_1_2022_05_30,Mitch,2022_05_30,446297
A4,516985,WT,1,Top,2022_05_30,SB3,Plant_1_2022_05_30,Mitch,2022_05_30,516985
A5,313663,WT,1,Bottom,2022_05_30,SB3,Plant_1_2022_05_30,Mitch,2022_05_30,313663
A6,341408,WT,1,Bottom,2022_05_30,SB3,Plant_1_2022_05_30,Mitch,2022_05_30,341408
A7,405527,WT,1,Bottom,2022_05_30,SB3,Plant_1_2022_05_30,Mitch,2022_05_30,405527
A8,304304,WT,1,Bottom,2022_05_30,SB3,Plant_1_2022_05_30,Mitch,2022_05_30,304304
A9,219128,WT,2,Top,2022_05_30,SB3,Plant_2_2022_05_30,Mitch,2022_05_30,219128
A10,296402,WT,2,Top,2022_05_30,SB3,Plant_2_2022_05_30,Mitch,2022_05_30,296402
A11,314114,WT,2,Top,2022_05_30,SB3,Plant_2_2022_05_30,Mitch,2022_05_30,314114
A12,275208,WT,2,Top,2022_05_30,SB3,Plant_2_2022_05_30,Mitch,2022_05_30,275208
B1,194209,WT,2,Bottom,2022_05_30,SB3,Plant_2_2022_05_30,Mitch,2022_05_30,194209
B2,317213,WT,2,Bottom,2022_05_30,SB3,Plant_2_2022_05_30,Mitch,2022_05_30,317213
B3,303460,WT,2,Bottom,2022_05_30,SB3,Plant_2_2022_05_30,Mitch,2022_05_30,303460
B4,331432,WT,2,Bottom,2022_05_30,SB3,Plant_2_2022_05_30,Mitch,2022_05_30,331432
B5,621106,WT,3,Top,2022_05_30,SB3,Plant_3_2022_05_30,Mitch,2022_05_30,621106
B6,535491,WT,3,Top,2022_05_30,SB3,Plant_3_2022_05_30,Mitch,2022_05_30,535491
B7,689828,WT,3,Top,2022_05_30,SB3,Plant_3_2022_05_30,Mitch,2022_05_30,689828
B8,563642,WT,3,Top,2022_05_30,SB3,Plant_3_2022_05_30,Mitch,2022_05_30,563642
B9,265515,WT,3,Bottom,2022_05_30,SB3,Plant_3_2022_05_30,Mitch,2022_05_30,265515
B10,200112,WT,3,Bottom,2022_05_30,SB3,Plant_3_2022_05_30,Mitch,2022_05_30,200112
B11,302840,WT,3,Bottom,2022_05_30,SB3,Plant_3_2022_05_30,Mitch,2022_05_30,302840
B12,294253,WT,3,Bottom,2022_05_30,SB3,Plant_3_2022_05_30,Mitch,2022_05_30,294253
C1,276477,WT,4,Top,2022_05_30,SB3,Plant_4_2022_05_30,Mitch,2022_05_30,276477
C2,328927,WT,4,Top,2022_05_30,SB3,Plant_4_2022_05_30,Mitch,2022_05_30,328927
C3,369825,WT,4,Top,2022_05_30,SB3,Plant_4_2022_05_30,Mitch,2022_05_30,369825
C4,237105,WT,4,Top,2022_05_30,SB3,Plant_4_2022_05_30,Mitch,2022_05_30,237105
C5,103009,WT,4,Bottom,2022_05_30,SB3,Plant_4_2022_05_30,Mitch,2022_05_30,103009
C6,143617,WT,4,Bottom,2022_05_30,SB3,Plant_4_2022_05_30,Mitch,2022_05_30,143617
C7,327748,WT,4,Bottom,2022_05_30,SB3,Plant_4_2022_05_30,Mitch,2022_05_30,327748
C8,213676,WT,4,Bottom,2022_05_30,SB3,Plant_4_2022_05_30,Mitch,2022_05_30,213676
C9,459717,WT,5,Top,2022_05_30,SB3,Plant_5_2022_05_30,Mitch,2022_05_30,459717
C10,431668,WT,5,Top,2022_05_30,SB3,Plant_5_2022_05_30,Mitch,2022_05_30,431668
C11,338922,WT,5,Top,2022_05_30,SB3,Plant_5_2022_05_30,Mitch,2022_05_30,338922
C12,344606,WT,5,Top,2022_05_30,SB3,Plant_5_2022_05_30,Mitch,2022_05_30,344606
D1,319466,WT,5,Bottom,2022_05_30,SB3,Plant_5_2022_05_30,Mitch,2022_05_30,319466
D2,459202,WT,5,Bottom,2022_05_30,SB3,Plant_5_2022_05_30,Mitch,2022_05_30,459202
D3,396293,WT,5,Bottom,2022_05_30,SB3,Plant_5_2022_05_30,Mitch,2022_05_30,396293
D4,516086,WT,5,Bottom,2022_05_30,SB3,Plant_5_2022_05_30,Mitch,2022_05_30,516086
D5,640362,WT,6,Top,2022_05_30,SB3,Plant_6_2022_05_30,Mitch,2022_05_30,640362
D6,753287,WT,6,Top,2022_05_30,SB3,Plant_6_2022_05_30,Mitch,2022_05_30,753287
D7,546045,WT,6,Top,2022_05_30,SB3,Plant_6_2022_05_30,Mitch,2022_05_30,546045
D8,557913,WT,6,Top,2022_05_30,SB3,Plant_6_2022_05_30,Mitch,2022_05_30,557913
D9,407279,WT,6,Bottom,2022_05_30,SB3,Plant_6_2022_05_30,Mitch,2022_05_30,407279
D10,550843,WT,6,Bottom,2022_05_30,SB3,Plant_6_2022_05_30,Mitch,2022_05_30,550843
D11,425436,WT,6,Bottom,2022_05_30,SB3,Plant_6_2022_05_30,Mitch,2022_05_30,425436
D12,349461,WT,6,Bottom,2022_05_30,SB3,Plant_6_2022_05_30,Mitch,2022_05_30,349461
E1,545718,WT,7,Top,2022_05_30,SB3,Plant_7_2022_05_30,Mitch,2022_05_30,545718
E2,699713,WT,7,Top,2022_05_30,SB3,Plant_7_2022_05_30,Mitch,2022_05_30,699713
E3,583924,WT,7,Top,2022_05_30,SB3,Plant_7_2022_05_30,Mitch,2022_05_30,583924
E4,518827,WT,7,Top,2022_05_30,SB3,Plant_7_2022_05_30,Mitch,2022_05_30,518827
E5,390448,WT,7,Bottom,2022_05_30,SB3,Plant_7_2022_05_30,Mitch,2022_05_30,390448
E6,354982,WT,7,Bottom,2022_05_30,SB3,Plant_7_2022_05_30,Mitch,2022_05_30,354982
E7,375244,WT,7,Bottom,2022_05_30,SB3,Plant_7_2022_05_30,Mitch,2022_05_30,375244
E8,447308,WT,7,Bottom,2022_05_30,SB3,Plant_7_2022_05_30,Mitch,2022_05_30,447308
E9,398152,WT,8,Top,2022_05_30,SB3,Plant_8_2022_05_30,Mitch,2022_05_30,398152
E10,555381,WT,8,Top,2022_05_30,SB3,Plant_8_2022_05_30,Mitch,2022_05_30,555381
E11,536163,WT,8,Top,2022_05_30,SB3,Plant_8_2022_05_30,Mitch,2022_05_30,536163
E12,302551,WT,8,Top,2022_05_30,SB3,Plant_8_2022_05_30,Mitch,2022_05_30,302551
F1,424947,WT,8,Bottom,2022_05_30,SB3,Plant_8_2022_05_30,Mitch,2022_05_30,424947
F2,403985,WT,8,Bottom,2022_05_30,SB3,Plant_8_2022_05_30,Mitch,2022_05_30,403985
F3,387932,WT,8,Bottom,2022_05_30,SB3,Plant_8_2022_05_30,Mitch,2022_05_30,387932
F4,488453,WT,8,Bottom,2022_05_30,SB3,Plant_8_2022_05_30,Mitch,2022_05_30,488453
A1,442081,WT,1,Top,2022_08_08,SB3,Plant_1_2022_08_08,Mitch,2022_08_08,442081
A2,534247,WT,1,Top,2022_08_08,SB3,Plant_1_2022_08_08,Mitch,2022_08_08,534247
A3,369060,WT,1,Top,2022_08_08,SB3,Plant_1_2022_08_08,Mitch,2022_08_08,369060
A4,455186,WT,1,Top,2022_08_08,SB3,Plant_1_2022_08_08,Mitch,2022_08_08,455186
A5,68986,WT,1,Bottom,2022_08_08,SB3,Plant_1_2022_08_08,Mitch,2022_08_08,68986
A6,86914,WT,1,Bottom,2022_08_08,SB3,Plant_1_2022_08_08,Mitch,2022_08_08,86914
A7,163302,WT,1,Bottom,2022_08_08,SB3,Plant_1_2022_08_08,Mitch,2022_08_08,163302
A8,228049,WT,1,Bottom,2022_08_08,SB3,Plant_1_2022_08_08,Mitch,2022_08_08,228049
A9,182469,WT,2,Top,2022_08_08,SB3,Plant_2_2022_08_08,Mitch,2022_08_08,182469
A10,376875,WT,2,Top,2022_08_08,SB3,Plant_2_2022_08_08,Mitch,2022_08_08,376875
